x,y,u,v,p
-0.05,-0.05,0.7469412739514708,0.003659629691247574,0.6441927449865451
-0.049,-0.05,0.7470453946222875,0.0034692998978788354,0.6443662425375152
-0.048,-0.05,0.74714591412517,0.0032740041977916737,0.6445391416811346
-0.047,-0.05,0.7472428153222188,0.003073885144011903,0.644711098753112
-0.046,-0.05,0.7473361328042141,0.002869178581209524,0.6448817637151694
-0.045,-0.05,0.7474259496398683,0.0026602111284490617,0.6450507822000794
-0.044,-0.05,0.7475123934353498,0.002447395046398403,0.6452177976975112
-0.043,-0.05,0.7475956318394812,0.0022312206943339457,0.6453824538539312
-0.041999999999999996,-0.05,0.7476758676309675,0.0020122468934295006,0.6455443968562881
-0.040999999999999995,-0.05,0.7477533335190176,0.0017910896086526925,0.6457032778663718
-0.039999999999999994,-0.05,0.7478282867787316,0.001568409434953015,0.6458587554707262
-0.03899999999999999,-0.05,0.7479010038290227,0.0013448984187194118,0.6460104981098354
-0.03799999999999999,-0.05,0.7479717748451664,0.0011212667591337746,0.6461581864500842
-0.03699999999999999,-0.05,0.7480408984820232,0.0008982299151303383,0.6463015156626616
-0.03599999999999999,-0.05,0.7481086767689777,0.0006764965938689386,0.6464401975751691
-0.03499999999999999,-0.05,0.7481754102249664,0.00045675802028689275,0.6465739626640608
-0.03399999999999999,-0.05,0.7482413932322781,0.0002396787908249501,0.6467025618592226
-0.03299999999999999,-0.05,0.7483069097015208,2.5889505772859516e-05,0.6468257681357504
-0.03199999999999999,-0.05,0.748372229056863,-0.00018401873758502456,0.6469433778722906
-0.030999999999999986,-0.05,0.7484376025699129,-0.0003894980163397628,0.6470552119600079
-0.029999999999999985,-0.05,0.7485032600712747,-0.0005900455385025285,0.647161116651149
-0.028999999999999984,-0.05,0.7485694070700082,-0.0007852040828036129,0.6472609641412439
-0.027999999999999983,-0.05,0.74863622231163,-0.000974561175606131,0.647354652883983
-0.026999999999999982,-0.05,0.7487038558042327,-0.001157747291339733,0.6474421076426682
-0.02599999999999998,-0.05,0.748772427338919,-0.0013344333727151438,0.6475232792867337
-0.02499999999999998,-0.05,0.7488420255248843,-0.0015043279563788999,0.6475981443459986
-0.02399999999999998,-0.05,0.7489127073511597,-0.001667174162238942,0.6476667043390518
-0.02299999999999998,-0.05,0.7489844982765191,-0.001822746764832694,0.6477289848953144
-0.021999999999999978,-0.05,0.7490573928371346,-0.00197084951751228,0.6477850346928726
-0.020999999999999977,-0.05,0.7491313557489462,-0.002111312849456687,0.647834924236089
-0.019999999999999976,-0.05,0.7492063234691778,-0.002243992005590216,0.6478787444982351
-0.018999999999999975,-0.05,0.7492822061699764,-0.002368765653674836,0.6479166054549953
-0.017999999999999974,-0.05,0.7493588900672741,-0.0024855349435181436,0.6479486345346841
-0.016999999999999973,-0.05,0.749436240040392,-0.002594222971874902,0.6479749750104188
-0.015999999999999973,-0.05,0.7495141024728509,-0.002694774583841827,0.6479957843584095
-0.014999999999999972,-0.05,0.749592308242537,-0.0027871564272677514,0.6480112326050098
-0.01399999999999997,-0.05,0.7496706757897028,-0.002871357170247149,0.6480215006832947
-0.01299999999999997,-0.05,0.7497490141940885,-0.0029473877921160348,0.6480267788177984
-0.011999999999999969,-0.05,0.7498271261973712,-0.003015281864197426,0.6480272649537357
-0.010999999999999968,-0.05,0.7499048111137913,-0.0030750957465091925,0.6480231632446376
-0.009999999999999967,-0.05,0.7499818675796867,-0.0031269086393583014,0.6480146826098799
-0.008999999999999966,-0.05,0.7500580961013724,-0.0031708224429977975,0.6480020353712397
-0.007999999999999965,-0.05,0.7501333013697817,-0.0032069613931888417,0.6479854359753094
-0.006999999999999965,-0.05,0.7502072943193309,-0.003235471454762629,0.6479650998065091
-0.005999999999999964,-0.05,0.7502798939170094,-0.003256519468400364,0.6479412420934717
-0.004999999999999963,-0.05,0.7503509286756965,-0.0032702920574050314,0.6479140769098642
-0.003999999999999962,-0.05,0.7504202378928054,-0.003276994310929843,0.6478838162691891
-0.002999999999999961,-0.05,0.7504876726215048,-0.0032768482678175296,0.6478506693118374
-0.00199999999999996,-0.05,0.7505530963868862,-0.0032700912309170495,0.6478148415815925
-0.0009999999999999593,-0.05,0.7506163856635429,-0.003256973945547482,0.6477765343879528
4.163336342344337e-17,-0.05,0.7506774301340704,-0.003237758677859455,0.6477359442499767
0.0010000000000000425,-0.05,0.7507361327501274,-0.0032127172294141894,0.6476932624169098
0.0020000000000000434,-0.05,0.7507924096189683,-0.0031821289235801405,0.6476486744605292
0.0030000000000000443,-0.05,0.7508461897388634,-0.0031462785975937234,0.6476023599340018
0.004000000000000045,-0.05,0.7508974146066805,-0.003105454631573488,0.6475544920919923
0.005000000000000046,-0.05,0.7509460377202445,-0.0030599470426248042,0.6475052376668433
0.006000000000000047,-0.05,0.7509920239969975,-0.0030100456686415343,0.647454756695762
0.007000000000000048,-0.05,0.75103534912908,-0.002956038462652662,0.6474032023941808
0.008000000000000049,-0.05,0.7510759988932996,-0.002898209914730903,0.647350721070696
0.00900000000000005,-0.05,0.7511139684326891,-0.0028368396146965223,0.6472974520792802
0.01000000000000005,-0.05,0.7511492615244576,-0.0027722009652012846,0.647243527804765
0.011000000000000051,-0.05,0.7511818898473064,-0.0027045600513378766,0.6471890736779047
0.012000000000000052,-0.05,0.75121187225918,-0.0026341746697494824,0.6471342082166669
0.013000000000000053,-0.05,0.7512392340947736,-0.0025612935173315184,0.6470790430906656
0.014000000000000054,-0.05,0.751264006490393,-0.002486155537064779,0.6470236832059967
