nodenumber,x,y,p,pressure-coefficient,dynamic-pressure,absolute-pressure,total-pressure,velocity-magnitude,u,v
       644, 5.600299426E+00,-3.962566712E+00, 5.012985546E-01, 3.637540532E-03, 1.383413750E+02, 1.013255013E+05, 1.388426736E+02, 1.502875474E+01, 1.502875278E+01,-7.651773311E-03
       645, 7.998820580E-01,-3.962547475E+00, 1.201961808E+00, 8.721718338E-03, 1.376408212E+02, 1.013262020E+05, 1.388427830E+02, 1.499065402E+01, 1.499065353E+01,-3.818825459E-03
       646, 5.800296910E+00,-3.962529838E+00, 4.744308538E-01, 3.442582159E-03, 1.383682371E+02, 1.013254744E+05, 1.388426679E+02, 1.503021375E+01, 1.503021194E+01,-7.366711489E-03
       647, 3.000192594E+00,-3.962485830E+00, 9.255141439E-01, 6.715748890E-03, 1.379172186E+02, 1.013259255E+05, 1.388427328E+02, 1.500569787E+01, 1.500569515E+01,-9.006878165E-03
       648, 6.000272119E+00,-3.962485870E+00, 4.486815632E-01, 3.255739234E-03, 1.383939806E+02, 1.013254487E+05, 1.388426622E+02, 1.503161188E+01, 1.503161021E+01,-7.077379462E-03
       649,-2.601664433E+00,-3.962484330E+00, 1.139957211E+00, 8.271798353E-03, 1.377028180E+02, 1.013261400E+05, 1.388427752E+02, 1.499402972E+01, 1.499402929E+01, 3.571823202E-03
       650, 2.600008057E+00,-3.962479963E+00, 9.913719485E-01, 7.193628651E-03, 1.378513715E+02, 1.013259914E+05, 1.388427434E+02, 1.500211529E+01, 1.500211288E+01,-8.462637225E-03
       651,-2.007237440E-01,-3.962473786E+00, 1.242513230E+00, 9.015969016E-03, 1.376002731E+02, 1.013262425E+05, 1.388427863E+02, 1.498844578E+01, 1.498844576E+01,-8.281848551E-04
       652,-1.600974650E+00,-3.962459851E+00, 1.208549908E+00, 8.769523141E-03, 1.376342349E+02, 1.013262085E+05, 1.388427848E+02, 1.499029535E+01, 1.499029511E+01, 2.679410720E-03
       653, 2.800093087E+00,-3.962433124E+00, 9.589585035E-01, 6.958429050E-03, 1.378837776E+02, 1.013259590E+05, 1.388427361E+02, 1.500387853E+01, 1.500387595E+01,-8.766452834E-03
       654, 6.200227623E+00,-3.962427458E+00, 4.240471335E-01, 3.076986003E-03, 1.384186089E+02, 1.013254240E+05, 1.388426560E+02, 1.503294932E+01, 1.503294778E+01,-6.786618790E-03
       655, 5.997768159E-01,-3.962426368E+00, 1.214495069E+00, 8.812662630E-03, 1.376282849E+02, 1.013262145E+05, 1.388427800E+02, 1.498997133E+01, 1.498997098E+01,-3.217367932E-03
       656,-1.801186830E+00,-3.962393356E+00, 1.196505531E+00, 8.682126302E-03, 1.376462747E+02, 1.013261965E+05, 1.388427802E+02, 1.499095099E+01, 1.499095069E+01, 2.997532092E-03
       657,-2.401703601E+00,-3.962389992E+00, 1.154728546E+00, 8.378982646E-03, 1.376880449E+02, 1.013261547E+05, 1.388427735E+02, 1.499322540E+01, 1.499322498E+01, 3.536237626E-03
       658,-6.270797057E-04,-3.962375266E+00, 1.238827452E+00, 8.989224142E-03, 1.376039542E+02, 1.013262388E+05, 1.388427817E+02, 1.498864627E+01, 1.498864620E+01,-1.419486846E-03
       659,-2.201624161E+00,-3.962373587E+00, 1.169284495E+00, 8.484604043E-03, 1.376734905E+02, 1.013261693E+05, 1.388427750E+02, 1.499243294E+01, 1.499243255E+01, 3.428514754E-03
       660,-2.001420991E+00,-3.962357637E+00, 1.183316447E+00, 8.586423195E-03, 1.376594602E+02, 1.013261833E+05, 1.388427767E+02, 1.499166899E+01, 1.499166863E+01, 3.248482026E-03
       661, 3.996571697E-01,-3.962336147E+00, 1.224814239E+00, 8.887540965E-03, 1.376179638E+02, 1.013262248E+05, 1.388427780E+02, 1.498940925E+01, 1.498940902E+01,-2.616024269E-03
       662, 6.400168270E+00,-3.962331568E+00, 4.005153212E-01, 2.906233623E-03, 1.384421330E+02, 1.013254005E+05, 1.388426484E+02, 1.503422669E+01, 1.503422527E+01,-6.496931726E-03
       663, 1.995084916E-01,-3.962324095E+00, 1.232926331E+00, 8.946404214E-03, 1.376098524E+02, 1.013262329E+05, 1.388427787E+02, 1.498896749E+01, 1.498896736E+01,-2.016280904E-03
       664, 6.600101905E+00,-3.962158112E+00, 3.780661800E-01, 2.743337361E-03, 1.384645712E+02, 1.013253781E+05, 1.388426374E+02, 1.503544498E+01, 1.503544369E+01,-6.210516221E-03
       665, 6.800047461E+00,-3.961970573E+00, 3.566763368E-01, 2.588127614E-03, 1.384859495E+02, 1.013253567E+05, 1.388426258E+02, 1.503660564E+01, 1.503660446E+01,-5.928583360E-03
       666, 7.000007614E+00,-3.961816510E+00, 3.363199275E-01, 2.440416708E-03, 1.385062959E+02, 1.013253363E+05, 1.388426158E+02, 1.503771019E+01, 1.503770912E+01,-5.652225387E-03
       667, 7.199981933E+00,-3.961662705E+00, 3.169657223E-01, 2.299978030E-03, 1.385256402E+02, 1.013253170E+05, 1.388426059E+02, 1.503876027E+01, 1.503875930E+01,-5.382745831E-03
       668, 7.399971342E+00,-3.961509110E+00, 2.985807150E-01, 2.166572082E-03, 1.385440155E+02, 1.013252986E+05, 1.388425962E+02, 1.503975767E+01, 1.503975679E+01,-5.121028485E-03
       669, 7.599978359E+00,-3.961342970E+00, 2.811293695E-01, 2.039941003E-03, 1.385614566E+02, 1.013252811E+05, 1.388425859E+02, 1.504070431E+01, 1.504070352E+01,-4.867808118E-03
       670, 7.799994834E+00,-3.961204555E+00, 2.645773948E-01, 1.919835971E-03, 1.385779997E+02, 1.013252646E+05, 1.388425770E+02, 1.504160215E+01, 1.504160143E+01,-4.623417099E-03
       671, 8.000010575E+00,-3.961110897E+00, 2.488889221E-01, 1.805996714E-03, 1.385936814E+02, 1.013252489E+05, 1.388425703E+02, 1.504245319E+01, 1.504245255E+01,-4.388173878E-03
       672, 8.200030521E+00,-3.961028850E+00, 2.340252957E-01, 1.698142735E-03, 1.386085389E+02, 1.013252340E+05, 1.388425642E+02, 1.504325946E+01, 1.504325888E+01,-4.162461396E-03
       673, 8.400048175E+00,-3.960970112E+00, 2.199495743E-01, 1.596005982E-03, 1.386226097E+02, 1.013252199E+05, 1.388425592E+02, 1.504402300E+01, 1.504402248E+01,-3.946377515E-03
       674, 8.600060260E+00,-3.960935448E+00, 2.066249015E-01, 1.499319013E-03, 1.386359306E+02, 1.013252066E+05, 1.388425555E+02, 1.504474581E+01, 1.504474534E+01,-3.739968191E-03
       675, 8.800072885E+00,-3.960904845E+00, 1.940134165E-01, 1.407807104E-03, 1.386485386E+02, 1.013251940E+05, 1.388425521E+02, 1.504542990E+01, 1.504542948E+01,-3.543264669E-03
       676, 9.000083121E+00,-3.960882861E+00, 1.820793337E-01, 1.321210584E-03, 1.386604698E+02, 1.013251821E+05, 1.388425491E+02, 1.504607724E+01, 1.504607687E+01,-3.356154950E-03
       677, 9.200091122E+00,-3.960867651E+00, 1.707873186E-01, 1.239273060E-03, 1.386717593E+02, 1.013251708E+05, 1.388425466E+02, 1.504668974E+01, 1.504668940E+01,-3.178497220E-03
       678, 9.400099574E+00,-3.960852511E+00, 1.601026690E-01, 1.161742723E-03, 1.386824415E+02, 1.013251601E+05, 1.388425441E+02, 1.504726927E+01, 1.504726897E+01,-3.010121691E-03
       679, 9.600108579E+00,-3.960835922E+00, 1.499919024E-01, 1.088376616E-03, 1.386925498E+02, 1.013251500E+05, 1.388425417E+02, 1.504781765E+01, 1.504781737E+01,-2.850812717E-03
       680, 9.800119419E+00,-3.960815175E+00, 1.404226193E-01, 1.018939641E-03, 1.387021165E+02, 1.013251404E+05, 1.388425391E+02, 1.504833662E+01, 1.504833637E+01,-2.700329918E-03
       681, 1.000013633E+01,-3.960781843E+00, 1.313632544E-01, 9.532027532E-04, 1.387111728E+02, 1.013251314E+05, 1.388425360E+02, 1.504882789E+01, 1.504882767E+01,-2.558428731E-03
       682, 1.020015529E+01,-3.960741601E+00, 1.227839050E-01, 8.909489703E-04, 1.387197488E+02, 1.013251228E+05, 1.388425327E+02, 1.504929309E+01, 1.504929289E+01,-2.424822658E-03
       683, 1.040017804E+01,-3.960690163E+00, 1.146554996E-01, 8.319673440E-04, 1.387278735E+02, 1.013251147E+05, 1.388425290E+02, 1.504973380E+01, 1.504973362E+01,-2.299239213E-03
       684, 1.060021222E+01,-3.960609879E+00, 1.069496174E-01, 7.760516453E-04, 1.387355745E+02, 1.013251069E+05, 1.388425241E+02, 1.505015151E+01, 1.505015135E+01,-2.181425696E-03
       685, 1.080025644E+01,-3.960496853E+00, 9.963951090E-02, 7.230077889E-04, 1.387428784E+02, 1.013250996E+05, 1.388425179E+02, 1.505054767E+01, 1.505054752E+01,-2.071102494E-03
       686, 1.100030512E+01,-3.960362604E+00, 9.269989521E-02, 6.726523008E-04, 1.387498108E+02, 1.013250927E+05, 1.388425107E+02, 1.505092367E+01, 1.505092354E+01,-1.967966220E-03
       687, 1.120036381E+01,-3.960196842E+00, 8.610582943E-02, 6.248042045E-04, 1.387563965E+02, 1.013250861E+05, 1.388425023E+02, 1.505128086E+01, 1.505128074E+01,-1.871762748E-03
       688, 1.140044443E+01,-3.959955240E+00, 7.983294426E-02, 5.792866704E-04, 1.387626576E+02, 1.013250798E+05, 1.388424905E+02, 1.505162043E+01, 1.505162033E+01,-1.782296244E-03
       689, 1.299397225E+01,-3.959684493E+00, 3.886096125E-02, 2.819842993E-04, 1.388036131E+02, 1.013250389E+05, 1.388424741E+02, 1.505384150E+01, 1.505384144E+01,-1.276646209E-03
       690, 1.160054398E+01,-3.959647402E+00, 7.385868739E-02, 5.359360536E-04, 1.387686171E+02, 1.013250739E+05, 1.388424758E+02, 1.505194364E+01, 1.505194355E+01,-1.699293339E-03
       691, 1.279748854E+01,-3.959476540E+00, 4.322707840E-02, 3.136658750E-04, 1.387992366E+02, 1.013250432E+05, 1.388424637E+02, 1.505360417E+01, 1.505360411E+01,-1.320850831E-03
       692, 1.180064234E+01,-3.959378545E+00, 6.816261661E-02, 4.946040207E-04, 1.387743000E+02, 1.013250682E+05, 1.388424627E+02, 1.505225185E+01, 1.505225176E+01,-1.622359633E-03
       693, 1.259937105E+01,-3.959223250E+00, 4.778795577E-02, 3.467606768E-04, 1.387946640E+02, 1.013250478E+05, 1.388424520E+02, 1.505335621E+01, 1.505335614E+01,-1.370558757E-03
       694, 1.200071318E+01,-3.959096878E+00, 6.272359093E-02, 4.551371678E-04, 1.387797253E+02, 1.013250627E+05, 1.388424489E+02, 1.505254608E+01, 1.505254600E+01,-1.551356421E-03
       695, 1.240028330E+01,-3.959002854E+00, 5.255057048E-02, 3.813193323E-04, 1.387898921E+02, 1.013250526E+05, 1.388424426E+02, 1.505309743E+01, 1.505309736E+01,-1.425631672E-03
       696, 1.220065001E+01,-3.958928049E+00, 5.752447547E-02, 4.174111599E-04, 1.387849157E+02, 1.013250575E+05, 1.388424402E+02, 1.505282756E+01, 1.505282748E+01,-1.485896004E-03
       697, 1.318757810E+01,-3.958777474E+00, 3.468561172E-02, 2.516869784E-04, 1.388077572E+02, 1.013250347E+05, 1.388424429E+02, 1.505406622E+01, 1.505406617E+01,-1.238685501E-03
       698, 1.337721598E+01,-3.953268768E+00, 3.069703209E-02, 2.227449041E-04, 1.388115285E+02, 1.013250307E+05, 1.388422255E+02, 1.505427072E+01, 1.505427067E+01,-1.210223219E-03
       699,-3.936535136E+00,-3.940014160E+00, 1.054499145E+00, 7.651694474E-03, 1.377875727E+02, 1.013260545E+05, 1.388420718E+02, 1.499864335E+01, 1.499864317E+01, 2.283570594E-03
       700, 1.356528029E+01,-3.935277702E+00, 2.684224036E-02, 1.947736262E-04, 1.388146152E+02, 1.013250268E+05, 1.388414574E+02, 1.505443810E+01, 1.505443805E+01,-1.199286384E-03
       701, 1.413776978E+01,-3.926408983E+00, 1.567311234E-02, 1.137277993E-04, 1.388252442E+02, 1.013250157E+05, 1.388409173E+02, 1.505501444E+01, 1.505501440E+01,-1.140230909E-03
       702, 1.449013871E+01,-3.906960728E+00, 9.073474966E-03, 6.583927413E-05, 1.388310312E+02, 1.013250091E+05, 1.388401046E+02, 1.505532823E+01, 1.505532818E+01,-1.137151608E-03
       703,-4.462360092E+00,-3.904485338E+00, 1.034656884E+00, 7.507714353E-03, 1.378056930E+02, 1.013260347E+05, 1.388403499E+02, 1.499962955E+01, 1.499962949E+01, 1.267049266E-03
       704,-4.821770578E+00,-3.902991918E+00, 1.028779783E+00, 7.465068723E-03, 1.378114758E+02, 1.013260288E+05, 1.388402556E+02, 1.499994426E+01, 1.499994425E+01, 4.431950774E-04
       705, 1.482974005E+01,-3.901191815E+00, 2.881795332E-03, 2.091098654E-05, 1.388371313E+02, 1.013250029E+05, 1.388400131E+02, 1.505565898E+01, 1.505565894E+01,-1.131844388E-03
       706, 1.375941655E+01,-3.894699002E+00, 2.295991014E-02, 1.666025225E-04, 1.388166664E+02, 1.013250230E+05, 1.388396263E+02, 1.505454932E+01, 1.505454927E+01,-1.214506347E-03
       707,-4.110249937E+00,-3.878649038E+00, 1.044805540E+00, 7.581355396E-03, 1.377944725E+02, 1.013260448E+05, 1.388392781E+02, 1.499901888E+01, 1.499901873E+01, 2.081748306E-03
       708,-3.831296560E+00,-3.834910889E+00, 1.056019647E+00, 7.662727596E-03, 1.377811496E+02, 1.013260560E+05, 1.388371692E+02, 1.499829376E+01, 1.499829350E+01, 2.768789177E-03
       709, 1.395364256E+01,-3.816744521E+00, 1.901447119E-02, 1.379734871E-04, 1.388169532E+02, 1.013250190E+05, 1.388359677E+02, 1.505456488E+01, 1.505456482E+01,-1.270738145E-03
       710, 1.431439636E+01,-3.812798428E+00, 1.220452727E-02, 8.855892807E-05, 1.388235920E+02, 1.013250122E+05, 1.388357965E+02, 1.505492485E+01, 1.505492480E+01,-1.241042387E-03
       711,-3.683354589E+00,-3.811613698E+00, 1.063097796E+00, 7.714088314E-03, 1.377726592E+02, 1.013260631E+05, 1.388357570E+02, 1.499783164E+01, 1.499783131E+01, 3.128865295E-03
       712, 1.465874147E+01,-3.803625601E+00, 5.900019621E-03, 4.281193376E-05, 1.388294592E+02, 1.013250059E+05, 1.388353593E+02, 1.505524299E+01, 1.505524294E+01,-1.232275947E-03
       713,-4.644312552E+00,-3.802845798E+00, 1.026394801E+00, 7.447762731E-03, 1.378091958E+02, 1.013260264E+05, 1.388355906E+02, 1.499982018E+01, 1.499982015E+01, 9.376691655E-04
       714,-5.000000000E+00,-3.800000000E+00, 1.022991114E+00, 7.423064776E-03, 1.378123619E+02, 1.013260230E+05, 1.388353530E+02, 1.500000000E+01, 1.500000000E+01, 0.000000000E+00
       715, 1.500000000E+01,-3.800000000E+00, 0.000000000E+00, 8.037737593E-06, 1.388350945E+02, 1.013250000E+05, 1.388362022E+02, 1.505554854E+01, 1.505554849E+01,-1.229161287E-03
       716,-3.496347131E+00,-3.797480911E+00, 1.074095390E+00, 7.793889450E-03, 1.377610619E+02, 1.013260741E+05, 1.388351573E+02, 1.499720038E+01, 1.499719998E+01, 3.484455282E-03
       717,-3.299894809E+00,-3.794984021E+00, 1.086909796E+00, 7.886873802E-03, 1.377481563E+02, 1.013260869E+05, 1.388350661E+02, 1.499649789E+01, 1.499649741E+01, 3.782463233E-03
       718,-4.290016057E+00,-3.794830917E+00, 1.034859341E+00, 7.509183429E-03, 1.378003348E+02, 1.013260349E+05, 1.388351942E+02, 1.499933793E+01, 1.499933782E+01, 1.841174907E-03
       719, 1.328020062E+01,-3.793371268E+00, 3.214106983E-02, 2.332231824E-04, 1.388025914E+02, 1.013250321E+05, 1.388347325E+02, 1.505378609E+01, 1.505378603E+01,-1.408011112E-03
       720,-3.102168489E+00,-3.792091543E+00, 1.101050824E+00, 7.989484439E-03, 1.377338391E+02, 1.013261011E+05, 1.388348900E+02, 1.499571852E+01, 1.499571798E+01, 4.027237487E-03
       721, 1.345576541E+01,-3.790964001E+00, 2.857993397E-02, 2.073827408E-04, 1.388060756E+02, 1.013250286E+05, 1.388346555E+02, 1.505397503E+01, 1.505397497E+01,-1.374566739E-03
       722, 4.300364597E+00,-3.790597839E+00, 6.987171031E-01, 5.070056077E-03, 1.381360231E+02, 1.013256987E+05, 1.388347402E+02, 1.501759636E+01, 1.501759251E+01,-1.072112073E-02
       723, 4.500317234E+00,-3.790561322E+00, 6.648518698E-01, 4.824321958E-03, 1.381698800E+02, 1.013256649E+05, 1.388347319E+02, 1.501943664E+01, 1.501943293E+01,-1.052623363E-02
       724, 4.100428453E+00,-3.790558099E+00, 7.333353580E-01, 5.321254298E-03, 1.381014091E+02, 1.013257333E+05, 1.388347445E+02, 1.501571469E+01, 1.501571074E+01,-1.087196529E-02
       725,-2.902682439E+00,-3.790460119E+00, 1.116176921E+00, 8.099242965E-03, 1.377186447E+02, 1.013261162E+05, 1.388348216E+02, 1.499489135E+01, 1.499489076E+01, 4.194128506E-03
       726, 3.900486532E+00,-3.790445934E+00, 7.685598277E-01, 5.576851357E-03, 1.380661854E+02, 1.013257686E+05, 1.388347453E+02, 1.501379964E+01, 1.501379561E+01,-1.097195813E-02
       727, 4.700294309E+00,-3.790424428E+00, 6.318605141E-01, 4.584928900E-03, 1.382028578E+02, 1.013256319E+05, 1.388347183E+02, 1.502122892E+01, 1.502122538E+01,-1.029415972E-02
       728, 1.499930692E+00,-3.790358413E+00, 1.150222528E+00, 8.346285916E-03, 1.376845993E+02, 1.013261502E+05, 1.388348218E+02, 1.499303778E+01, 1.499303619E+01,-6.899467917E-03
       729, 3.700529618E+00,-3.790350469E+00, 8.042111517E-01, 5.835545772E-03, 1.380305358E+02, 1.013258042E+05, 1.388347469E+02, 1.501186118E+01, 1.501185712E+01,-1.101359083E-02
       730, 1.699889296E+00,-3.790329363E+00, 1.127171964E+00, 8.179025592E-03, 1.377076431E+02, 1.013261272E+05, 1.388348150E+02, 1.499429240E+01, 1.499429048E+01,-7.561089199E-03
       731, 4.900318711E+00,-3.790321975E+00, 5.998402392E-01, 4.352582234E-03, 1.382348660E+02, 1.013255998E+05, 1.388347062E+02, 1.502296830E+01, 1.502296494E+01,-1.003006753E-02
       732, 1.299948044E+00,-3.790309269E+00, 1.170912085E+00, 8.496414222E-03, 1.376639121E+02, 1.013261709E+05, 1.388348242E+02, 1.499191139E+01, 1.499191009E+01,-6.215219234E-03
       733, 1.899842585E+00,-3.790263568E+00, 1.101818597E+00, 7.995055581E-03, 1.377329873E+02, 1.013261018E+05, 1.388348059E+02, 1.499567213E+01, 1.499566989E+01,-8.189543137E-03
       734, 3.500532940E+00,-3.790238607E+00, 8.400813460E-01, 6.095828361E-03, 1.379946666E+02, 1.013258401E+05, 1.388347479E+02, 1.500991053E+01, 1.500990649E+01,-1.099097060E-02
       735,-1.101123903E+00,-3.790235777E+00, 1.240233254E+00, 8.999424971E-03, 1.375946054E+02, 1.013262402E+05, 1.388348387E+02, 1.498813709E+01, 1.498813696E+01, 1.981232635E-03
       736,-9.010945036E-01,-3.790232168E+00, 1.246979533E+00, 9.048377567E-03, 1.375878594E+02, 1.013262470E+05, 1.388348390E+02, 1.498776967E+01, 1.498776960E+01, 1.382615406E-03
       737, 5.100377286E+00,-3.790230525E+00, 5.688676445E-01, 4.127837783E-03, 1.382658270E+02, 1.013255689E+05, 1.388346946E+02, 1.502465058E+01, 1.502464741E+01,-9.740232820E-03
       738,-7.011581101E-01,-3.790185334E+00, 1.251487913E+00, 9.081091431E-03, 1.375833486E+02, 1.013262515E+05, 1.388348365E+02, 1.498752398E+01, 1.498752396E+01, 7.462941702E-04
       739, 1.099936418E+00,-3.790167693E+00, 1.189230301E+00, 8.629335516E-03, 1.376455910E+02, 1.013261892E+05, 1.388348213E+02, 1.499091375E+01, 1.499091273E+01,-5.517502030E-03
       740,-1.301201993E+00,-3.790161440E+00, 1.231381419E+00, 8.935193968E-03, 1.376034527E+02, 1.013262314E+05, 1.388348341E+02, 1.498861895E+01, 1.498861873E+01, 2.530612934E-03
       741, 2.099829413E+00,-3.790155302E+00, 1.074278266E+00, 7.795216439E-03, 1.377605160E+02, 1.013260743E+05, 1.388347943E+02, 1.499717065E+01, 1.499716807E+01,-8.774247138E-03
       742, 3.300485253E+00,-3.790126279E+00, 8.759299707E-01, 6.355954436E-03, 1.379588192E+02, 1.013258759E+05, 1.388347491E+02, 1.500796081E+01, 1.500795683E+01,-1.089853208E-02
       743, 5.300427842E+00,-3.790122592E+00, 5.390035764E-01, 3.911137062E-03, 1.382956789E+02, 1.013255390E+05, 1.388346825E+02, 1.502627243E+01, 1.502626945E+01,-9.430560761E-03
       744, 1.309220188E+01,-3.790099952E+00, 3.605327912E-02, 2.616110956E-04, 1.387985133E+02, 1.013250361E+05, 1.388345666E+02, 1.505356495E+01, 1.505356487E+01,-1.452765005E-03
       745,-5.012340889E-01,-3.790055495E+00, 1.253693792E+00, 9.097097808E-03, 1.375811359E+02, 1.013262537E+05, 1.388348297E+02, 1.498740346E+01, 1.498740346E+01, 8.280729689E-05
       746, 2.299868012E+00,-3.790043246E+00, 1.044723515E+00, 7.580760200E-03, 1.377900585E+02, 1.013260447E+05, 1.388347820E+02, 1.499877862E+01, 1.499877572E+01,-9.304639261E-03
       747, 5.500457796E+00,-3.790039691E+00, 5.102874684E-01, 3.702766211E-03, 1.383243846E+02, 1.013255103E+05, 1.388346721E+02, 1.502783183E+01, 1.502782906E+01,-9.105893690E-03
       748, 5.700474823E+00,-3.790018585E+00, 4.827386331E-01, 3.502865365E-03, 1.383519266E+02, 1.013254827E+05, 1.388346652E+02, 1.502932786E+01, 1.502932529E+01,-8.770632467E-03
       749, 5.900452996E+00,-3.789998541E+00, 4.563637052E-01, 3.311482668E-03, 1.383782951E+02, 1.013254564E+05, 1.388346588E+02, 1.503076002E+01, 1.503075764E+01,-8.429356247E-03
       750,-1.501295527E+00,-3.789986426E+00, 1.220617598E+00, 8.857089144E-03, 1.376142069E+02, 1.013262206E+05, 1.388348245E+02, 1.498920464E+01, 1.498920434E+01, 3.019774274E-03
       751, 3.100374999E+00,-3.789975311E+00, 9.114902018E-01, 6.613987859E-03, 1.379232587E+02, 1.013259115E+05, 1.388347489E+02, 1.500602645E+01, 1.500602259E+01,-1.073240314E-02
       752, 8.998607099E-01,-3.789967925E+00, 1.205206093E+00, 8.745259631E-03, 1.376296090E+02, 1.013262052E+05, 1.388348151E+02, 1.499004343E+01, 1.499004265E+01,-4.813069183E-03
       753, 6.100391118E+00,-3.789956058E+00, 4.311564404E-01, 3.128572810E-03, 1.384034952E+02, 1.013254312E+05, 1.388346516E+02, 1.503212858E+01, 1.503212640E+01,-8.085719110E-03
       754,-2.702631389E+00,-3.789935921E+00, 1.131886974E+00, 8.213238813E-03, 1.377029190E+02, 1.013261319E+05, 1.388348059E+02, 1.499403522E+01, 1.499403460E+01, 4.281361483E-03
       755, 2.499956326E+00,-3.789922735E+00, 1.013384574E+00, 7.353357452E-03, 1.378213842E+02, 1.013260134E+05, 1.388347688E+02, 1.500048346E+01, 1.500048026E+01,-9.771823268E-03
       756, 6.300299309E+00,-3.789874992E+00, 4.070999185E-01, 2.954013014E-03, 1.384275428E+02, 1.013254071E+05, 1.388346428E+02, 1.503343445E+01, 1.503343244E+01,-7.742751478E-03
       757, 2.900229868E+00,-3.789869493E+00, 9.464625435E-01, 6.867755418E-03, 1.378882887E+02, 1.013259465E+05, 1.388347513E+02, 1.500412397E+01, 1.500412028E+01,-1.048924705E-02
       758,-3.012694784E-01,-3.789857409E+00, 1.253578430E+00, 9.096260717E-03, 1.375812411E+02, 1.013262536E+05, 1.388348195E+02, 1.498740919E+01, 1.498740918E+01,-5.988941563E-04
       759,-1.701546828E+00,-3.789854794E+00, 1.208170328E+00, 8.766768822E-03, 1.376266454E+02, 1.013262082E+05, 1.388348157E+02, 1.498988204E+01, 1.498988165E+01, 3.438808406E-03
       760, 2.700079470E+00,-3.789838827E+00, 9.805326086E-01, 7.114975845E-03, 1.378542247E+02, 1.013259805E+05, 1.388347573E+02, 1.500227054E+01, 1.500226707E+01,-1.016844926E-02
       761,-2.502579685E+00,-3.789827884E+00, 1.147868480E+00, 8.329204390E-03, 1.376869346E+02, 1.013261479E+05, 1.388348031E+02, 1.499316495E+01, 1.499316433E+01, 4.285913715E-03
       762,-2.302473010E+00,-3.789782316E+00, 1.163835769E+00, 8.445066803E-03, 1.376709676E+02, 1.013261638E+05, 1.388348033E+02, 1.499229557E+01, 1.499229498E+01, 4.204859788E-03
       763,-2.102247983E+00,-3.789769552E+00, 1.179438240E+00, 8.558282013E-03, 1.376553670E+02, 1.013261794E+05, 1.388348052E+02, 1.499144610E+01, 1.499144555E+01, 4.035808690E-03
       764,-1.901885934E+00,-3.789769551E+00, 1.194335484E+00, 8.666379929E-03, 1.376404732E+02, 1.013261943E+05, 1.388348087E+02, 1.499063507E+01, 1.499063459E+01, 3.779463229E-03
       765, 6.997122161E-01,-3.789752251E+00, 1.218883884E+00, 8.844508910E-03, 1.376159237E+02, 1.013262189E+05, 1.388348076E+02, 1.498929814E+01, 1.498929757E+01,-4.106416887E-03
       766, 6.500184776E+00,-3.789683656E+00, 3.841697485E-01, 2.787626293E-03, 1.384504587E+02, 1.013253842E+05, 1.388346284E+02, 1.503467874E+01, 1.503467691E+01,-7.403321556E-03
       767,-1.011661826E-01,-3.789649205E+00, 1.251154383E+00, 9.078671261E-03, 1.375836545E+02, 1.013262512E+05, 1.388348088E+02, 1.498754064E+01, 1.498754058E+01,-1.292127758E-03
       768, 4.995076435E-01,-3.789574056E+00, 1.230305450E+00, 8.927386487E-03, 1.376044960E+02, 1.013262303E+05, 1.388348014E+02, 1.498867577E+01, 1.498867538E+01,-3.400064928E-03
       769, 9.902474613E-02,-3.789510991E+00, 1.246449289E+00, 9.044529987E-03, 1.375883520E+02, 1.013262464E+05, 1.388348013E+02, 1.498779650E+01, 1.498779636E+01,-1.991907310E-03
       770, 2.992776286E-01,-3.789484281E+00, 1.239493763E+00, 8.994059051E-03, 1.375953051E+02, 1.013262395E+05, 1.388347989E+02, 1.498817520E+01, 1.498817495E+01,-2.695132698E-03
       771, 6.700080940E+00,-3.789438910E+00, 3.623375167E-01, 2.629206471E-03, 1.384722739E+02, 1.013253623E+05, 1.388346114E+02, 1.503586318E+01, 1.503586151E+01,-7.069013342E-03
       772, 6.900001865E+00,-3.789178286E+00, 3.415728649E-01, 2.478533260E-03, 1.384930208E+02, 1.013253416E+05, 1.388345936E+02, 1.503698953E+01, 1.503698801E+01,-6.741239170E-03
       773, 7.099948515E+00,-3.788958510E+00, 3.218447296E-01, 2.335381258E-03, 1.385127333E+02, 1.013253218E+05, 1.388345781E+02, 1.503805965E+01, 1.503805827E+01,-6.421070912E-03
       774, 7.299918652E+00,-3.788738394E+00, 3.031163301E-01, 2.199483574E-03, 1.385314463E+02, 1.013253031E+05, 1.388345627E+02, 1.503907543E+01, 1.503907418E+01,-6.109846167E-03
       775, 7.499917387E+00,-3.788495987E+00, 2.853493891E-01, 2.070562461E-03, 1.385491968E+02, 1.013252853E+05, 1.388345462E+02, 1.504003890E+01, 1.504003778E+01,-5.808522489E-03
       776, 7.699935865E+00,-3.788279575E+00, 2.685075337E-01, 1.948353986E-03, 1.385660237E+02, 1.013252685E+05, 1.388345313E+02, 1.504095219E+01, 1.504095117E+01,-5.517519616E-03
       777, 7.899965182E+00,-3.788101658E+00, 2.525529832E-01, 1.832584005E-03, 1.385819655E+02, 1.013252526E+05, 1.388345185E+02, 1.504181738E+01, 1.504181646E+01,-5.237277658E-03
       778, 8.099992779E+00,-3.787978141E+00, 2.374475559E-01, 1.722975462E-03, 1.385970611E+02, 1.013252374E+05, 1.388345087E+02, 1.504263660E+01, 1.504263578E+01,-4.968079823E-03
