nodenumber,x,y,p,pressure-coefficient,dynamic-pressure,absolute-pressure,total-pressure,velocity-magnitude,u,v
        31, 1.000000000E+00,-5.000000000E+00, 1.159065530E+00, 8.410452824E-03, 1.377044788E+02, 1.013261591E+05, 1.388635443E+02, 1.499412013E+01, 1.499412013E+01, 0.000000000E+00
        32, 1.200000000E+00,-5.000000000E+00, 1.142541777E+00, 8.290552580E-03, 1.377210019E+02, 1.013261425E+05, 1.388635437E+02, 1.499501968E+01, 1.499501968E+01, 0.000000000E+00
        33, 1.400000000E+00,-5.000000000E+00, 1.124017626E+00, 8.156136968E-03, 1.377395255E+02, 1.013261240E+05, 1.388635431E+02, 1.499602806E+01, 1.499602806E+01, 0.000000000E+00
        34, 1.600000000E+00,-5.000000000E+00, 1.103554143E+00, 8.007649107E-03, 1.377599883E+02, 1.013261036E+05, 1.388635424E+02, 1.499714193E+01, 1.499714193E+01, 0.000000000E+00
        35, 1.800000000E+00,-5.000000000E+00, 1.081233164E+00, 7.845682821E-03, 1.377823086E+02, 1.013260812E+05, 1.388635417E+02, 1.499835682E+01, 1.499835682E+01, 0.000000000E+00
        36, 2.000000000E+00,-5.000000000E+00, 1.057158395E+00, 7.670990620E-03, 1.378063827E+02, 1.013260572E+05, 1.388635411E+02, 1.499966706E+01, 1.499966706E+01, 0.000000000E+00
        37, 2.200000000E+00,-5.000000000E+00, 1.031456206E+00, 7.484489474E-03, 1.378320843E+02, 1.013260315E+05, 1.388635405E+02, 1.500106575E+01, 1.500106575E+01, 0.000000000E+00
        38, 2.400000000E+00,-5.000000000E+00, 1.004274064E+00, 7.287249443E-03, 1.378592659E+02, 1.013260043E+05, 1.388635400E+02, 1.500254485E+01, 1.500254485E+01, 0.000000000E+00
        39, 2.600000000E+00,-5.000000000E+00, 9.757780171E-01, 7.080475407E-03, 1.378877616E+02, 1.013259758E+05, 1.388635396E+02, 1.500409528E+01, 1.500409528E+01, 0.000000000E+00
        40, 2.800000000E+00,-5.000000000E+00, 9.461498870E-01, 6.865486708E-03, 1.379173894E+02, 1.013259461E+05, 1.388635393E+02, 1.500570716E+01, 1.500570716E+01, 0.000000000E+00
        41, 3.000000000E+00,-5.000000000E+00, 9.155820682E-01, 6.643679406E-03, 1.379479570E+02, 1.013259156E+05, 1.388635391E+02, 1.500736999E+01, 1.500736999E+01, 0.000000000E+00
