x,y,u,v,p
0.705, -0.25, 0.761784, 0, 0.499902
0.713, -0.25, 0.761765, 0, 0.49992
0.72, -0.25, 0.761749, 0, 0.499936
0.728, -0.25, 0.761731, 0, 0.499953
0.735, -0.25, 0.761715, 0, 0.499968
0.743, -0.25, 0.761694, 0, 0.499986
-0.25, 0.2425, 0.75, 0, 0.511607
-0.25, 0.235, 0.75, 0, 0.511625
-0.25, 0.2275, 0.75, 0, 0.511656
-0.25, 0.22, 0.75, 0, 0.511698
-0.25, 0.2125, 0.75, 0, 0.511751
-0.25, 0.205, 0.75, 0, 0.511816
-0.25, 0.1975, 0.75, 0, 0.511892
-0.25, 0.19, 0.75, 0, 0.511979
-0.25, 0.1825, 0.75, 0, 0.512076
-0.25, 0.175, 0.75, 0, 0.512181
-0.25, 0.1675, 0.75, 0, 0.512296
-0.25, 0.16, 0.75, 0, 0.512419
-0.25, 0.1525, 0.75, 0, 0.512549
-0.25, 0.1455, 0.75, 0, 0.512675
-0.25, 0.138, 0.75, 0, 0.512816
-0.25, 0.1305, 0.75, 0, 0.51296
-0.25, 0.123, 0.75, 0, 0.513107
-0.25, 0.1155, 0.75, 0, 0.513255
-0.25, 0.108, 0.75, 0, 0.513403
-0.25, 0.1005, 0.75, 0, 0.513549
-0.25, 0.093, 0.75, 0, 0.513692
-0.25, 0.0855, 0.75, 0, 0.51383
-0.25, 0.078, 0.75, 0, 0.513962
-0.25, 0.0705, 0.75, 0, 0.514085
-0.25, 0.063, 0.75, 0, 0.514199
-0.25, 0.0555, 0.75, 0, 0.514301
-0.25, 0.0485, 0.75, 0, 0.514386
-0.25, 0.041, 0.75, 0, 0.514463
-0.25, 0.0335, 0.75, 0, 0.514525
-0.25, 0.026, 0.75, 0, 0.514571
-0.25, 0.0185, 0.75, 0, 0.5146
-0.25, 0.011, 0.75, 0, 0.514611
-0.25, 0.0035, 0.75, 0, 0.514604
-0.25, -0.004, 0.75, 0, 0.514579
-0.25, -0.0115, 0.75, 0, 0.514536
-0.25, -0.019, 0.75, 0, 0.514475
-0.25, -0.0265, 0.75, 0, 0.514398
-0.25, -0.034, 0.75, 0, 0.514304
-0.25, -0.0415, 0.75, 0, 0.514195
-0.25, -0.049, 0.75, 0, 0.514073
-0.25, -0.056, 0.75, 0, 0.513948
-0.25, -0.0635, 0.75, 0, 0.513803
-0.25, -0.071, 0.75, 0, 0.513649
-0.25, -0.0785, 0.75, 0, 0.513487
-0.25, -0.086, 0.75, 0, 0.513319
-0.25, -0.0935, 0.75, 0, 0.513146
-0.25, -0.101, 0.75, 0, 0.512971
-0.25, -0.1085, 0.75, 0, 0.512795
-0.25, -0.116, 0.75, 0, 0.512619
-0.25, -0.1235, 0.75, 0, 0.512445
-0.25, -0.131, 0.75, 0, 0.512275
-0.25, -0.1385, 0.75, 0, 0.512109
-0.25, -0.146, 0.75, 0, 0.511949
-0.25, -0.153, 0.75, 0, 0.511806
-0.25, -0.1605, 0.75, 0, 0.51166
-0.25, -0.168, 0.75, 0, 0.511523
-0.25, -0.1755, 0.75, 0, 0.511395
-0.25, -0.183, 0.75, 0, 0.511278
-0.25, -0.1905, 0.75, 0, 0.511172
-0.25, -0.198, 0.75, 0, 0.511077
-0.25, -0.2055, 0.75, 0, 0.510994
-0.25, -0.213, 0.75, 0, 0.510924
-0.25, -0.2205, 0.75, 0, 0.510866
-0.25, -0.228, 0.75, 0, 0.510821
-0.25, -0.2355, 0.75, 0, 0.510789
-0.25, -0.243, 0.75, 0, 0.510771
0.75, -0.2425, 0.761689, 1.66074e-05, 0.5
0.75, -0.235, 0.761711, 3.27109e-05, 0.5
0.75, -0.2275, 0.761747, 4.98712e-05, 0.5
0.75, -0.22, 0.761797, 6.65253e-05, 0.5
0.75, -0.2125, 0.761861, 8.29122e-05, 0.5
0.75, -0.205, 0.761938, 9.9189e-05, 0.5
0.75, -0.1975, 0.762029, 0.000115333, 0.5
0.75, -0.19, 0.762132, 0.000131303, 0.5
0.75, -0.1825, 0.762248, 0.000147002, 0.5
0.75, -0.175, 0.762375, 0.000162489, 0.5
0.75, -0.1675, 0.762513, 0.000177628, 0.5
0.75, -0.16, 0.762661, 0.00019255, 0.5
0.75, -0.1525, 0.762818, 0.000206949, 0.5
0.75, -0.1455, 0.762972, 0.00022008, 0.5
0.75, -0.138, 0.763143, 0.000233665, 0.5
0.75, -0.1305, 0.76332, 0.000246684, 0.5
0.75, -0.123, 0.763502, 0.000258789, 0.5
0.75, -0.1155, 0.763685, 0.000270285, 0.5
0.75, -0.108, 0.763871, 0.000280039, 0.5
0.75, -0.1005, 0.764055, 0.000288881, 0.5
0.75, -0.093, 0.764239, 0.00029383, 0.5
0.75, -0.0855, 0.764416, 0.000296226, 0.5
0.75, -0.078, 0.764594, 0.000287247, 0.5
0.75, -0.0705, 0.764756, 0.000273664, 0.5
0.75, -0.063, 0.764829, 0.000260171, 0.5
0.75, -0.0555, 0.764263, 0.000303864, 0.5
0.75, -0.0485, 0.761976, 0.000534564, 0.5
0.75, -0.041, 0.754897, 0.00106911, 0.5
0.75, -0.0335, 0.73929, 0.0019424, 0.5
0.75, -0.026, 0.712852, 0.00288146, 0.5
0.75, -0.0185, 0.678015, 0.00335328, 0.5
0.75, -0.011, 0.643356, 0.00284919, 0.5
0.75, -0.0035, 0.620594, 0.00126155, 0.5
0.75, 0.004, 0.618561, -0.000863428, 0.5
0.75, 0.0115, 0.638116, -0.00260999, 0.5
0.75, 0.019, 0.671594, -0.00332135, 0.5
0.75, 0.0265, 0.707283, -0.00299081, 0.5
0.75, 0.034, 0.735643, -0.00208523, 0.5
0.75, 0.0415, 0.753133, -0.00116937, 0.5
0.75, 0.049, 0.761453, -0.000572925, 0.5
0.75, 0.056, 0.764323, -0.000295977, 0.5
0.75, 0.0635, 0.765149, -0.000232552, 0.5
0.75, 0.071, 0.765171, -0.000241435, 0.5
0.75, 0.0785, 0.765061, -0.000255784, 0.5
0.75, 0.086, 0.764921, -0.000267098, 0.5
0.75, 0.0935, 0.764782, -0.000266215, 0.5
0.75, 0.101, 0.764633, -0.000262665, 0.5
0.75, 0.1085, 0.764483, -0.000254923, 0.5
0.75, 0.116, 0.764328, -0.00024626, 0.5
0.75, 0.1235, 0.764173, -0.000235813, 0.5
0.75, 0.131, 0.764018, -0.000224771, 0.5
0.75, 0.1385, 0.763866, -0.000212839, 0.5
0.75, 0.146, 0.763717, -0.000200368, 0.5
0.75, 0.153, 0.763583, -0.000188328, 0.5
0.75, 0.1605, 0.763445, -0.000175105, 0.5
0.75, 0.168, 0.763315, -0.000161433, 0.5
0.75, 0.1755, 0.763192, -0.000147546, 0.5
0.75, 0.183, 0.763079, -0.000133354, 0.5
0.75, 0.1905, 0.762976, -0.00011894, 0.5
0.75, 0.198, 0.762883, -0.000104326, 0.5
0.75, 0.2055, 0.762802, -8.9558e-05, 0.5
0.75, 0.213, 0.762732, -7.46912e-05, 0.5
0.75, 0.2205, 0.762675, -5.97365e-05, 0.5
0.75, 0.228, 0.76263, -4.45338e-05, 0.5
0.75, 0.2355, 0.762598, -2.93215e-05, 0.5
0.75, 0.243, 0.76258, -1.44324e-05, 0.5
0.742, 0.25, 0.762586, 0, 0.499986
0.734, 0.25, 0.762607, 0, 0.499968
0.727, 0.25, 0.76262, 0, 0.499955
0.719, 0.25, 0.762636, 0, 0.499939
0.712, 0.25, 0.762652, 0, 0.499925
0.704, 0.25, 0.762669, 0, 0.499909
0.697, 0.25, 0.762684, 0, 0.499894
0.689, 0.25, 0.762701, 0, 0.499878
0.682, 0.25, 0.762717, 0, 0.499863
0.674, 0.25, 0.762735, 0, 0.499846
0.667, 0.25, 0.762751, 0, 0.49983
0.659, 0.25, 0.762769, 0, 0.499813
0.652, 0.25, 0.762786, 0, 0.499797
0.644, 0.25, 0.762805, 0, 0.499779
0.637, 0.25, 0.762822, 0, 0.499762
0.629, 0.25, 0.762842, 0, 0.499743
0.622, 0.25, 0.76286, 0, 0.499726
0.614, 0.25, 0.76288, 0, 0.499706
0.607, 0.25, 0.762899, 0, 0.499689
0.599, 0.25, 0.762921, 0, 0.499668
0.592, 0.25, 0.76294, 0, 0.49965
0.584, 0.25, 0.762963, 0, 0.499628
